section,item,component,efficiency,w,cost,investment_chf_per_kw,capex,opex,lifetime,cycle_no,power,capacity,pavg_per_pp,reference
Methane,Methane liquifaction,transform,1.0,,,,,,,,,,,
Methane,Methane transport,transport,0.98,,,,,,,,,,,
Methane,CH4 storage 200bar,storage,1.0,0.15,0.0714545495589418,0.9092345629627593,400.0,50.0,50.0,50.0,1.0,700.0,1.0,
Methane,Biogas purification,transform,0.98,0.1,0.008122913028001187,1223.134362505808,1000.0,10.0,20.0,,1.0,,1.0,
Ammonia,N2 separation,transform,1.0,0.01,0.0016245826056002373,244.62687250116159,200.0,2.0,20.0,,1.0,,1.0,
Ammonia,"N2,H2 compression",transform,0.99,,0.004061456514000594,611.567181252904,500.0,5.0,20.0,,1.0,,1.0,
Ammonia,NH3 synthesis,transform,0.783,0.22,0.012184369542001777,1834.7015437587118,1500.0,15.0,20.0,,1.0,1.0,1.0,
Ammonia,Ammonia liquifaction,transform,1.0,0.2,0.000387180081870178,1265.0741802876869,1136.3636363636363,22.727272727272727,10.0,,44.0,,1.0,
Ammonia,Ammonia shipping,transport,0.99,0.0,0.00018402883928637278,61.156718125290396,50.0,1.0,20.0,1000.0,,441.0,1.0,
Ammonia,Ammonia storage,storage,1.0,0.0,8.122913028001188e-05,12.23134362505808,10.0,0.1,20.0,,1.0,1.0,1.0,
Ammonia,Ammonia cracking,transform,0.75,0.25,0.008122913028001187,1223.134362505808,1000.0,10.0,20.0,,1.0,,1.0,
Solar concentrator,Solar concentrator salt,transform,0.05,0.01,0.5529285379348777,10659.615969238115,8715.0,435.75,20.0,,1.0,,0.2,
Solar concentrator,Solar concentrator steam,transform,0.17,0.01,0.2018839481019829,3892.0135414934803,3182.0,159.10000000000002,20.0,,1.0,,0.2,
Electricity,Imported electricity,transport,1.0,,0.25,0.0,,,,,,,1.0,
Electricity,Electricity,transport,1.0,,0.2,0.0,,,,,,,1.0,
Electricity,Grid 10km,transport,0.95,,0.0008919509248276594,134.19042910243377,66.66666666666667,0.6666666666666667,80.0,,1.0,,0.3,
Electricity,Grid 100 km,transport,0.95,,0.004459754624138296,670.9521455121688,333.3333333333333,3.333333333333333,80.0,,1.0,,0.3,
Electricity,Grid 1000 km,transport,0.8,,0.08919509248276594,13419.042910243377,6666.666666666667,66.66666666666667,80.0,,1.0,,0.3,
Biomass,Biomass,storage,1.0,,0.095,0.0,,,,,,,,
Biomass,Biogas  (50% CH4),storage,1.0,,0.1,0.0,,,,,,,,
Biomass,Sugar,storage,1.0,,0.14,0.0,,,,,,,,
Biomass,Biooil,storage,1.0,,0.067,0.0,,,,,,,,
Biomass,Wood,storage,1.0,,0.095,0.0,,,,,,,,
Biomass,Palm oil,storage,1.0,,0.07,0.0,,,,,,,,
Biomass,Karoch oil,storage,1.0,,0.035,0.0,,,,,,,,
Desalination,Reverse Osmosis,transform,1.0,0.001255994519296643,0.039369329114769966,6886.246460907698,5630.0,0.5630000000000001,20.0,,1.0,,1.0,
