latitude,longitude,mean_solar_incidence_kwh_m2_per_hour,rank
45.7,7.8,2.024518616338798,199
46.2,7.3,2.0239100584153005,200
45.7,6.5,2.022913552852459,201
46.6,8.5,2.022724380956284,202
46.7,9.7,2.0216574491530053,203
46.5,8.9,2.02141367647541,204
46.0,8.2,2.0179152793715844,205
46.5,7.7,2.0168375966120218,206
46.6,8.6,2.0166791936612025,207
46.1,7.1,2.0163470803005468,208
46.6,8.7,2.0161692117759564,209
46.0,6.8,2.0159969495355194,210
47.1,10.7,2.015547134808743,211
46.5,9.0,2.0152245747540984,212
46.3,7.4,2.0149392692076504,213
46.2,10.1,2.0146027872404373,214
45.7,7.9,2.0140471090437155,215
46.9,10.0,2.01345486215847,216
46.2,9.8,2.0113690279508196,217
46.6,8.1,2.011162611693989,218
46.1,10.7,2.010737483579235,219
46.2,9.9,2.0103569834699453,220
47.0,10.4,2.0102993857923495,221
46.1,8.3,2.010096561967213,222
46.6,8.8,2.009700901338798,223
46.5,9.1,2.0096328953551916,224
46.2,10.0,2.009366079043716,225
45.9,6.6,2.008891910928962,226
46.6,9.5,2.0072362386885247,227
46.4,7.5,2.0059401128415297,228
46.4,9.5,2.005668248306011,229
46.2,7.2,2.0051102450819673,230
46.5,9.4,2.005013342322404,231
46.8,9.8,2.0047595783606558,232
46.5,9.2,2.004500933989071,233
45.8,6.5,2.0030366439890708,234
46.6,8.9,2.0028762624590164,235
46.1,10.2,2.0027081090163934,236
46.3,9.6,2.002381043934426,237
46.5,9.3,2.002217468032787,238
46.0,6.7,2.001513536229508,239
46.4,8.6,2.0001351976502733,240
45.7,8.0,1.9999031444262292,241
46.2,9.7,1.999367785874317,242
46.6,8.0,1.9983194696721314,243
46.1,7.0,1.9982134177868853,244
46.5,7.6,1.9976691849180324,245
47.0,10.3,1.9973620653825137,246
46.3,7.3,1.996359897978142,247
46.2,8.4,1.9962732884426226,248
46.6,9.0,1.9939340823497267,249
47.1,10.6,1.9937601943169398,250
45.7,6.4,1.9922979979371582,251
45.9,8.2,1.9901499456830598,252
46.6,7.9,1.9891841427868855,253
46.7,8.4,1.9884572905464484,254
46.3,8.5,1.988177205355191,255
46.4,7.4,1.9877460607103825,256
46.1,10.1,1.9874973965300546,257
46.7,8.7,1.9872915371311473,258
47.0,10.2,1.986731392759563,259
46.2,7.1,1.986710908169399,260
46.7,8.5,1.9855792457923498,261
46.7,8.6,1.9849677835519124,262
46.1,6.9,1.984706573852459,263
46.6,9.1,1.9846679444262294,264
46.4,8.7,1.9844251204098362,265
46.7,9.6,1.9837723530054645,266
46.9,9.9,1.9835232755191257,267
45.7,8.1,1.9834108700437159,268
46.4,8.8,1.9833561271311475,269
46.7,8.8,1.9831515913934428,270
46.1,8.4,1.9830507721311474,271
46.1,10.0,1.9829786386612023,272
46.1,9.9,1.9824488722131148,273
45.9,6.5,1.9819807869398907,274
46.4,9.4,1.9812867434153008,275
46.2,9.6,1.9811351931420764,276
46.7,8.3,1.9807113766939892,277
46.6,7.8,1.9806266040983607,278
46.3,9.5,1.9804269713661202,279
46.1,9.8,1.979954219535519,280
46.5,7.5,1.978581592103825,281
45.8,8.2,1.9784748784972679,282
46.6,9.2,1.9784305877322403,283
46.4,8.9,1.9782710464754099,284
46.3,7.2,1.977594782349727,285
45.7,6.3,1.9770537611065573,286
46.6,9.4,1.9768577369398905,287
46.7,8.9,1.9759070398907104,288
47.0,10.1,1.9752869863661204,289
46.6,9.3,1.97501805,290
46.0,6.6,1.9746866829508198,291
46.0,10.3,1.974085471065574,292
46.1,6.8,1.9733893999453551,293
46.0,10.4,1.9729716381420768,294
45.8,6.4,1.9724886959972678,295
46.4,9.0,1.9720983205737703,296
46.1,9.7,1.9720618753005466,297
47.1,10.5,1.971341921284153,298
46.0,8.3,1.9709003881693985,299
46.8,9.7,1.9705371874590163,300
46.4,9.3,1.9704618414480877,301
46.4,7.3,1.9695490553825137,302
46.0,10.5,1.9688649349453553,303
46.2,7.0,1.9685691569398907,304
46.4,9.1,1.9673339363934426,305
45.7,6.2,1.9663678816775956,306
46.6,7.7,1.9644883238797815,307
46.0,10.2,1.9642426590437159,308
46.4,9.2,1.9641772872404373,309
46.7,9.0,1.963846587622951,310
46.7,9.5,1.9635600134426228,311
46.7,8.2,1.963489510546448,312
46.0,10.6,1.9620732357923496,313
46.3,9.4,1.9604526608469945,314
46.5,7.4,1.960382639945355,315
46.1,6.7,1.9601433995081967,316
46.3,7.1,1.9592456701639342,317
46.2,9.5,1.959139757568306,318
46.1,9.6,1.959139603306011,319
45.8,6.3,1.9584731892896174,320
46.0,10.1,1.9584012119398908,321
45.7,8.2,1.9561075146174864,322
45.7,6.1,1.9558968971174862,323
45.9,6.4,1.9556300813934426,324
46.0,10.0,1.9550148349726777,325
47.0,10.0,1.953791979808743,326
46.0,9.9,1.952497390081967,327
46.0,10.7,1.9522846926775956,328
47.2,10.7,1.952234692295082,329
46.7,9.1,1.9521610579234971,330
46.8,8.7,1.9520384153825137,331
46.4,7.2,1.9510234437978142,332
46.0,6.5,1.9506594889207651,333
46.2,6.9,1.950599998989071,334
45.7,6.0,1.9504765121885248,335
46.8,8.8,1.9497349752459014,336
46.8,8.6,1.9496096070765028,337
47.1,10.4,1.9494504648907105,338
46.7,9.4,1.9489919372677598,339
45.8,6.2,1.9486403183333332,340
46.0,9.8,1.9485732153005464,341
46.9,9.8,1.9475725769125682,342
46.8,8.5,1.947258417896175,343
46.8,8.9,1.9471110947814207,344
47.2,10.6,1.9465719368306011,345
46.2,8.5,1.946245410136612,346
46.6,7.6,1.9461910798360658,347
45.9,8.3,1.9455217332786883,348
46.3,9.3,1.945168414180328,349
46.7,9.2,1.9449887252185791,350
46.0,8.4,1.9442625548907102,351
46.7,9.3,1.9437070507923495,352
45.9,6.3,1.9428106528306013,353
45.8,6.1,1.9423712508060111,354
46.0,9.7,1.9423340543442624,355
46.5,7.3,1.9422290951366121,356
46.7,8.1,1.942089179945355,357
45.7,9.8,1.9419024772677596,358
45.7,5.9,1.9418889039617484,359
46.3,7.0,1.9411405321038253,360
45.8,9.9,1.940457502076503,361
46.8,8.4,1.9397548442622952,362
45.8,6.0,1.9397203196994535,363
46.2,9.4,1.9396411050546447,364
45.8,10.0,1.9396193743715848,365
45.9,10.1,1.9396114765573773,366
45.9,10.0,1.9394370065300546,367
45.7,9.9,1.9393425479781419,368
46.1,9.5,1.9391543104371585,369
45.7,8.3,1.9388720946994535,370
46.3,8.6,1.9387364584153006,371
45.9,10.2,1.9387152792896174,372
47.1,10.3,1.9384532683879783,373
45.8,9.8,1.9383027797540981,374
46.1,8.5,1.9378808102185794,375
45.9,9.9,1.9378432165846995,376
45.9,10.3,1.9375678074316938,377
45.9,6.2,1.936822426,378
45.9,10.4,1.936432510601093,379
45.7,10.0,1.9364271244808744,380
45.8,10.1,1.9363436997814205,381
45.8,8.3,1.936166424590164,382
45.8,5.9,1.9357912115437161,383
45.7,9.7,1.9351290059289616,384
46.8,9.0,1.9350815400819672,385
46.3,9.2,1.9350687413934426,386
45.7,5.8,1.9349330872404373,387
45.9,6.1,1.9345851551256832,388
45.8,10.2,1.9345564430601092,389
46.3,8.9,1.9343898333060108,390
46.1,6.6,1.9341843125273226,391
45.9,9.8,1.934108646557377,392
45.7,10.1,1.9333652992622952,393
46.2,6.8,1.9331061604918032,394
45.8,10.3,1.9330950002185796,395
46.6,7.5,1.932906381557377,396
45.9,10.5,1.9328915234699455,397
45.7,9.6,1.9327938754262295,398
46.8,9.6,1.9327031995901638,399
46.4,7.1,1.9326498693989071,400
46.0,6.4,1.932429096622951,401
45.9,6.0,1.932135116543716,402
45.8,10.4,1.9315825737704917,403
45.7,10.2,1.9312784394262292,404
46.3,8.8,1.9312771898907104,405
45.8,5.8,1.9305964886885247,406
45.7,10.7,1.9303141823224046,407
45.7,9.5,1.9300514819398908,408
47.0,9.9,1.9298814634426231,409
45.8,9.7,1.9298498534699453,410
45.7,10.3,1.9298321485519128,411
46.0,9.6,1.9295292463387979,412
46.0,6.3,1.9293516295409838,413
45.8,10.5,1.9291484834153005,414
46.3,9.0,1.9288642926229507,415
46.6,7.4,1.928708317513661,416
46.3,9.1,1.9285504972677594,417
45.7,10.6,1.928526147896175,418
45.7,10.4,1.9284626901092898,419
46.3,8.7,1.9281074410382513,420
47.1,10.2,1.928003904863388,421
45.9,5.9,1.9279986731530054,422
46.8,9.5,1.9274195396448086,423
47.2,10.5,1.9273067886885247,424
45.7,9.4,1.9272138743989071,425
45.7,10.5,1.9271112563934425,426
45.9,9.7,1.9270980246284153,427
46.0,6.2,1.925836865532787,428
45.9,10.6,1.9255114143442624,429
46.7,8.0,1.9253261461202187,430
46.5,7.2,1.9241638927868852,431
46.2,9.3,1.9238154909836063,432
46.0,6.1,1.9236421011338798,433
45.9,5.8,1.9235669058852458,434
45.7,9.3,1.9235648795628415,435
46.9,9.7,1.9234978668579235,436
46.3,6.9,1.9232332000000003,437
46.8,9.1,1.923038454262295,438
46.8,8.3,1.9229615684972676,439
46.2,6.7,1.9226285474590163,440
46.1,6.5,1.922425323224044,441
46.8,9.4,1.9217367531420766,442
46.0,6.0,1.9214075598907103,443
45.8,10.6,1.920913727240437,444
46.1,9.4,1.9207350455191259,445
45.8,9.6,1.9207229736885247,446
45.7,8.4,1.9196670870628412,447
45.7,9.2,1.9194944029508196,448
45.9,8.4,1.9188567789071038,449
46.7,7.9,1.9182519916393441,450
47.1,10.1,1.9176088062568308,451
46.0,5.9,1.917027681256831,452
46.8,9.3,1.9165383263934428,453
45.9,10.7,1.9164057770491805,454
45.8,10.7,1.9160286586612023,455
46.8,9.2,1.9155368169672133,456
46.0,9.5,1.9154580360928963,457
45.7,9.1,1.9154095562021858,458
46.0,8.5,1.9151771104371582,459
46.4,7.0,1.915143035191257,460
46.6,7.3,1.9149292999726777,461
45.9,9.6,1.9148380501639344,462
46.1,6.4,1.9145369472677598,463
46.2,9.2,1.9133580952732243,464
45.8,9.5,1.913026403510929,465
